anime_id,title,title_english
54595,Kage no Jitsuryokusha ni Naritakute! 2nd Season,The Eminence in Shadow Season 2
71,Full Metal Panic!,Full Metal Panic!
1840,Zero no Tsukaima: Futatsuki no Kishi,The Familiar of Zero: Knight of the Twin Moons
41226,Uzaki-chan wa Asobitai!,Uzaki-chan Wants to Hang Out!
46352,Blue Period,Blue Period
40787,Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish"
11013,Inu x Boku SS,Inu X Boku Secret Service
51180,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Classroom of the Elite III
14833,Maoyuu Maou Yuusha,Maoyu
48413,Hataraku Maou-sama!!,The Devil is a Part-Timer! Season 2
10162,Usagi Drop,Bunny Drop
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin
10110,Mayo Chiki!,Mayo Chiki!
40357,Tate no Yuusha no Nariagari Season 3,The Rising of the Shield Hero Season 3
5341,Ookami to Koushinryou II,Spice and Wolf II
8675,Seitokai Yakuindomo,Student Council Staff Members
1889,Higurashi no Naku Koro ni Kai,Higurashi: When They Cry – Kai
31741,Magi: Sinbad no Bouken (TV),Magi: Adventure of Sinbad
35557,Houseki no Kuni,Land of the Lustrous
25537,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Fate/stay night: Heaven's Feel - I. Presage Flower
16011,Tokyo Ravens,Tokyo Ravens
55791,[Oshi no Ko] 2nd Season,[Oshi No Ko] Season 2
59,Chobits,Chobits
32093,Tanaka-kun wa Itsumo Kedaruge,Tanaka-kun is Always Listless
23199,Durarara!!x2 Shou,Durarara!! x2 Shou
34662,Fate/Apocrypha,
31758,Kizumonogatari III: Reiketsu-hen,Kizumonogatari Part 3: Cold-Blooded
